player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,xG,npxG,SCA,GCA,team,team_goals,conceded_goals,win,tie,match,Total-TotDist,Total-PrgDist,Short-Cmp,Short-Att,Medium-Cmp,Medium-Att,Long-Cmp,Long-Att,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,Tackles-Tkl,Tackles-TklW,Challenges-Tkl,Challenges-Att,Challenges-Lost,Blocks-Blocks,Blocks-Sh,Blocks-Pass,Int,Clr,Err,Touches-Def Pen,Touches-Def 3rd,Touches-Mid 3rd,Touches-Att 3rd,Touches-Att Pen,Take-Ons-Att,Take-Ons-Succ,Carries-Carries,Carries-TotDist,Carries-PrgDist,Carries-PrgC,Carries-1/3,Carries-CPA,Carries-Mis,Carries-Dis,Receiving-Rec,Receiving-PrgR,CrdY,CrdR,2CrdY,Fls,Fld,Off,PKwon,PKcon,OG,Recov,Aerial Duels-Won,Aerial Duels-Lost,SoTA,GA,Saves,PSxG,Launched-Cmp,Launched-Att,Passes-Att (GK),Passes-Thr,Passes-AvgLen,Goal Kicks-Att,Goal Kicks-AvgLen,Crosses-Opp,Crosses-Stp,Sweeper-#OPA,Sweeper-AvgDist,rating
Salomón Rondón,9.0,ve VEN,CM,27-337,5,0,0,0,0,0,0,0.0,0.0,0,0,West Bromwich Albion,1,0,True,False,Burnley - West Bromwich Albion,64,33,1,1,1,1,1,2,0.0,0.0,0,1,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1,0,1,1,5,27,7,0,1,0,1,0,5,0,0,0,0,0,0,0,0,0,0,2,1,0,,,,,,,,,,,,,,,,
Jake Livermore,8.0,eng ENG,CM,27-278,90,0,0,0,0,1,0,0.0,0.0,3,0,West Bromwich Albion,1,0,True,False,Burnley - West Bromwich Albion,264,36,6,7,4,4,3,4,0.0,0.0,1,0,0,0,2,20,17,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,4,15,6,0,1,1,9,45,33,0,1,0,2,0,11,0,0,0,0,1,1,0,0,0,0,2,0,1,,,,,,,,,,,,,,,,6.795
Matt Phillips,10.0,sct SCO,RM,26-159,90,0,1,0,0,1,0,0.0,0.0,4,0,West Bromwich Albion,1,0,True,False,Burnley - West Bromwich Albion,168,92,8,14,0,2,2,5,0.6,0.5,3,0,0,0,0,24,19,5,2,0,0,6,2,1,1,1,0,1,1,0,0,0,1,3,0,2,10,8,20,2,2,1,18,198,103,2,4,1,4,3,22,9,0,0,0,1,2,0,0,0,0,3,1,1,,,,,,,,,,,,,,,,7.165
Gareth Barry,18.0,eng ENG,DM,36-177,90,0,0,0,0,0,0,0.0,0.0,0,0,West Bromwich Albion,1,0,True,False,Burnley - West Bromwich Albion,280,148,5,7,8,12,2,4,0.0,0.0,0,4,0,0,4,24,23,0,0,0,0,0,0,0,1,0,0,1,1,2,2,0,1,10,0,11,21,16,2,0,0,0,9,38,18,0,0,0,1,0,13,1,0,0,0,0,0,0,0,0,0,4,4,2,,,,,,,,,,,,,,,,6.734999999999999
Chris Brunt,11.0,nir NIR,LB,32-248,90,0,0,0,0,1,0,0.1,0.1,0,0,West Bromwich Albion,1,0,True,False,Burnley - West Bromwich Albion,371,199,4,7,10,20,3,16,0.0,0.0,0,2,0,0,1,43,28,15,1,0,0,5,10,4,1,0,0,3,3,0,0,0,0,3,0,6,17,22,9,0,0,0,12,40,21,0,0,0,0,0,16,1,0,0,0,1,0,0,0,0,0,3,0,0,,,,,,,,,,,,,,,,6.215
Ahmed Hegazi,26.0,eg EGY,CB,26-206,90,0,0,0,0,0,0,0.0,0.0,0,0,West Bromwich Albion,1,0,True,False,Burnley - West Bromwich Albion,75,47,3,3,2,3,0,3,0.0,0.0,0,0,0,0,0,11,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,11,0,10,22,3,0,0,0,0,4,36,15,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,3,5,3,,,,,,,,,,,,,,,,7.775
Craig Dawson,25.0,eng ENG,CB,27-105,90,0,0,0,0,1,0,0.3,0.3,1,0,West Bromwich Albion,1,0,True,False,Burnley - West Bromwich Albion,268,132,5,6,4,5,3,10,0.0,0.0,0,0,0,0,0,23,22,1,1,0,1,0,0,0,0,0,0,0,0,2,1,1,2,3,0,6,18,13,1,1,0,0,12,66,53,0,0,0,1,0,12,0,0,0,0,1,2,0,0,0,0,1,4,4,,,,,,,,,,,,,,,,7.1
Allan Nyom,2.0,cm CMR,RB,29-101,90,0,0,0,0,0,0,0.0,0.0,1,0,West Bromwich Albion,1,0,True,False,Burnley - West Bromwich Albion,446,244,14,15,10,19,3,10,0.0,0.0,0,5,0,0,5,46,29,17,0,0,0,1,17,0,1,1,0,0,0,0,0,0,0,6,0,7,27,24,6,0,0,0,18,64,38,0,1,0,3,1,19,0,0,0,0,0,0,0,0,0,0,6,0,1,,,,,,,,,,,,,,,,
Ben Foster,1.0,eng ENG,GK,34-138,90,0,0,0,0,0,0,0.0,0.0,1,0,West Bromwich Albion,1,0,True,False,Burnley - West Bromwich Albion,720,704,0,0,0,1,11,29,0.0,0.0,0,0,0,0,0,31,7,24,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,30,0,0,0,0,0,5,78,62,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,11.0,29.0,14.0,1.0,57.3,17.0,67.9,28.0,1.0,0.0,9.0,6.3
Daniel Sturridge,15.0,eng ENG,FW,27-352,60,0,0,0,0,2,0,0.2,0.2,4,0,Liverpool,1,0,True,False,Liverpool - Crystal Palace,201,39,10,13,5,6,0,0,0.0,0.1,1,2,0,0,2,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,18,3,4,4,22,104,52,2,2,0,4,1,22,7,0,0,0,0,2,0,0,0,0,4,0,0,,,,,,,,,,,,,,,,6.365
Mohamed Salah,11.0,eg EGY,RW,25-065,30,0,0,0,0,2,2,0.1,0.1,4,0,Liverpool,1,0,True,False,Liverpool - Crystal Palace,154,40,4,5,4,5,1,2,0.1,0.1,1,0,1,0,1,12,12,0,0,0,0,0,0,0,1,0,1,2,1,0,0,0,0,0,0,0,1,8,8,2,1,1,12,83,15,0,1,0,1,3,16,3,0,0,0,1,0,1,0,0,0,2,2,0,,,,,,,,,,,,,,,,6.390000000000001
Roberto Firmino,9.0,br BRA,LW,25-321,89,0,0,0,0,5,2,0.1,0.1,4,0,Liverpool,1,0,True,False,Liverpool - Crystal Palace,515,129,19,25,13,13,2,2,0.1,0.1,2,5,0,0,6,48,46,2,0,0,0,0,2,0,3,3,0,2,2,2,1,1,0,0,0,1,4,28,30,6,2,0,43,353,166,8,4,1,0,3,46,8,0,0,0,3,0,1,0,0,0,6,1,3,,,,,,,,,,,,,,,,6.52
Dejan Lovren,6.0,hr CRO,CB,28-045,1,0,0,0,0,0,0,0.0,0.0,0,0,Liverpool,1,0,True,False,Liverpool - Crystal Palace,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Sadio Mané,19.0,sn SEN,RW,25-131,90,1,0,0,0,5,4,1.0,1.0,5,1,Liverpool,1,0,True,False,Liverpool - Crystal Palace,594,173,29,35,10,13,2,4,0.0,0.1,1,5,3,0,8,56,55,1,0,0,0,3,1,0,1,1,1,1,0,0,0,0,0,0,0,1,4,28,40,10,4,2,50,264,134,6,3,2,7,2,61,16,0,0,0,1,0,0,0,0,0,3,1,1,,,,,,,,,,,,,,,,
James Milner,7.0,eng ENG,LM,31-227,90,0,0,0,0,2,1,0.2,0.2,9,0,Liverpool,1,0,True,False,Liverpool - Crystal Palace,1948,544,48,52,41,43,14,17,0.0,0.1,0,15,2,0,19,115,109,6,1,0,1,6,1,4,2,2,1,3,2,1,0,1,0,1,0,2,7,87,28,1,1,1,80,300,149,2,2,1,1,1,98,10,0,0,0,3,0,0,0,0,0,7,2,1,,,,,,,,,,,,,,,,6.779999999999999
Jordan Henderson,14.0,eng ENG,CM,27-063,90,0,0,0,0,1,1,0.0,0.0,2,0,Liverpool,1,0,True,False,Liverpool - Crystal Palace,1143,225,26,28,29,37,6,14,0.1,0.1,1,10,0,0,3,83,79,4,4,1,1,1,0,0,5,2,1,2,1,1,0,1,3,1,0,3,12,73,10,2,0,0,48,164,67,1,1,0,1,1,55,0,1,0,0,2,0,0,0,0,0,10,2,0,,,,,,,,,,,,,,,,7.245
Georginio Wijnaldum,5.0,nl NED,RM,26-281,70,0,0,0,0,2,1,0.2,0.2,2,0,Liverpool,1,0,True,False,Liverpool - Crystal Palace,329,62,10,12,12,13,0,1,0.0,0.0,0,1,0,0,1,29,27,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,21,12,2,1,1,26,134,28,0,1,0,1,0,29,3,0,0,0,0,2,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,6.3149999999999995
Dominic Solanke,29.0,eng ENG,AM,19-339,20,0,0,0,0,1,1,0.1,0.1,1,0,Liverpool,1,0,True,False,Liverpool - Crystal Palace,50,6,6,6,0,0,0,1,0.0,0.0,1,0,0,0,0,8,8,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,5,6,3,0,0,7,33,13,1,0,1,0,1,10,2,0,0,0,1,0,0,0,0,0,1,1,0,,,,,,,,,,,,,,,,6.275
Andrew Robertson,26.0,sct SCO,LB,23-161,90,0,0,0,0,2,1,0.1,0.1,4,1,Liverpool,1,0,True,False,Liverpool - Crystal Palace,1486,502,53,58,38,51,5,6,1.0,0.8,3,7,4,2,13,125,115,10,1,0,0,10,9,0,1,1,1,3,2,0,0,0,1,2,0,1,17,65,49,3,0,0,82,486,299,10,6,0,1,2,100,14,0,0,0,0,0,0,0,0,0,8,0,1,,,,,,,,,,,,,,,,7.67
Ragnar Klavan,17.0,ee EST,CB,31-293,90,0,0,0,0,0,0,0.0,0.0,2,0,Liverpool,1,0,True,False,Liverpool - Crystal Palace,1436,559,29,32,46,49,5,5,0.0,0.0,1,7,0,0,6,87,85,2,1,0,0,0,1,0,1,1,0,1,1,0,0,0,0,4,0,2,30,63,1,0,3,3,70,441,251,1,0,0,0,0,69,0,0,0,0,1,2,0,0,0,0,5,4,4,,,,,,,,,,,,,,,,6.9350000000000005
Joël Matip,32.0,cm CMR,CB,26-011,90,0,0,0,0,1,0,0.6,0.6,2,0,Liverpool,1,0,True,False,Liverpool - Crystal Palace,1295,558,21,22,36,40,9,12,0.1,0.0,1,1,0,0,3,75,71,4,3,0,0,0,1,0,4,3,0,1,1,0,0,0,1,1,0,3,33,44,4,2,0,0,53,305,214,0,1,0,0,0,56,0,0,0,0,0,6,0,0,0,0,6,4,2,,,,,,,,,,,,,,,,
Joe Gomez,12.0,eng ENG,RB,20-088,90,0,0,0,0,0,0,0.0,0.0,2,0,Liverpool,1,0,True,False,Liverpool - Crystal Palace,1021,364,32,37,25,32,6,8,0.1,0.1,2,6,1,1,9,79,70,8,0,0,0,2,8,0,4,3,1,1,0,0,0,0,1,1,0,1,18,55,15,0,1,1,49,262,137,2,1,0,0,3,55,8,0,0,0,0,1,0,0,0,0,10,0,0,,,,,,,,,,,,,,,,
Simon Mignolet,22.0,be BEL,GK,29-166,90,0,0,0,0,0,0,0.0,0.0,0,0,Liverpool,1,0,True,False,Liverpool - Crystal Palace,682,548,2,2,10,10,10,15,0.0,0.0,0,0,0,0,0,27,18,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,28,0,0,0,0,0,7,36,26,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,2,0,0,1.0,0.0,1.0,0.4,5.0,10.0,22.0,4.0,38.4,5.0,32.4,5.0,1.0,1.0,19.3,6.390000000000001
Christian Benteke,17.0,be BEL,FW,26-259,90,0,0,0,0,1,0,0.4,0.4,1,0,Crystal Palace,0,1,False,False,Liverpool - Crystal Palace,119,30,9,16,1,5,0,0,0.0,0.0,0,2,0,0,2,22,20,2,0,0,0,0,0,0,0,0,0,2,2,1,1,0,0,0,0,2,3,15,9,2,0,0,21,58,18,0,1,0,3,4,27,2,1,0,0,5,2,1,0,0,0,0,6,5,,,,,,,,,,,,,,,,5.359999999999999
Andros Townsend,10.0,eng ENG,FW,26-034,90,0,0,0,0,0,0,0.0,0.0,3,0,Crystal Palace,0,1,False,False,Liverpool - Crystal Palace,285,76,10,12,4,4,3,4,0.0,0.0,0,0,0,0,0,22,20,1,0,0,0,1,1,0,3,1,0,1,1,2,0,2,0,0,0,1,8,14,12,0,3,2,28,206,33,2,1,0,5,6,27,7,0,0,0,1,1,0,0,0,0,3,0,0,,,,,,,,,,,,,,,,6.1
Luka Milivojević,4.0,rs SRB,CM,26-134,76,0,0,0,0,1,0,0.1,0.1,0,0,Crystal Palace,0,1,False,False,Liverpool - Crystal Palace,490,139,14,14,10,11,3,4,0.0,0.0,0,4,0,0,1,31,31,0,0,0,0,0,0,0,2,1,1,3,2,2,1,1,1,0,1,3,15,21,2,0,1,1,23,70,17,0,0,0,0,2,20,0,0,0,0,1,0,0,0,0,0,7,0,0,,,,,,,,,,,,,,,,
Sullay Kaikai,25.0,sl SLE,CM,21-358,14,0,0,0,0,0,0,0.0,0.0,0,0,Crystal Palace,0,1,False,False,Liverpool - Crystal Palace,60,18,3,4,0,3,1,1,0.0,0.0,0,0,0,0,1,8,5,3,1,0,0,2,0,2,1,0,0,0,0,1,0,1,0,1,0,1,1,3,8,0,2,2,5,39,19,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,2,0,1,,,,,,,,,,,,,,,,6.21
Jason Puncheon,42.0,eng ENG,CM,31-062,72,0,0,0,0,1,1,0.1,0.1,1,0,Crystal Palace,0,1,False,False,Liverpool - Crystal Palace,311,151,11,14,3,5,3,3,0.1,0.1,1,4,1,0,4,23,21,2,2,0,0,1,0,0,0,0,0,1,1,1,0,1,2,0,0,0,7,14,10,3,1,0,21,68,40,1,1,0,0,1,20,3,1,0,0,2,0,0,0,0,0,5,1,3,,,,,,,,,,,,,,,,6.125
James McArthur,18.0,sct SCO,CM,29-316,18,0,0,0,0,0,0,0.0,0.0,0,0,Crystal Palace,0,1,False,False,Liverpool - Crystal Palace,40,1,3,3,1,2,0,2,0.0,0.0,0,0,0,0,0,7,5,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,1,3,3,3,0,0,0,6,39,2,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,2,0,0,,,,,,,,,,,,,,,,6.15
Ruben Loftus-Cheek,8.0,eng ENG,CM,21-208,90,0,0,0,0,0,0,0.0,0.0,3,0,Crystal Palace,0,1,False,False,Liverpool - Crystal Palace,316,188,8,9,7,10,2,2,0.5,0.2,2,3,2,0,4,21,21,0,0,0,0,0,0,0,4,2,0,2,2,1,0,1,3,1,0,1,10,17,6,2,5,3,21,153,47,2,1,1,0,2,14,1,0,0,0,0,4,0,0,0,0,8,0,1,,,,,,,,,,,,,,,,7.225
Patrick van Aanholt,3.0,nl NED,WB,26-355,83,0,0,0,0,0,0,0.0,0.0,0,0,Crystal Palace,0,1,False,False,Liverpool - Crystal Palace,228,130,9,12,1,3,2,6,0.0,0.0,0,2,0,0,2,23,18,4,1,0,0,0,3,0,4,4,1,2,1,2,2,0,5,2,0,8,18,9,10,1,1,0,19,107,33,1,0,0,1,2,10,3,1,0,0,0,1,1,0,0,0,9,1,0,,,,,,,,,,,,,,,,6.51
Jeffrey Schlupp,15.0,gh GHA,WB,24-239,7,0,0,0,0,0,0,0.0,0.0,0,0,Crystal Palace,0,1,False,False,Liverpool - Crystal Palace,11,11,1,1,0,0,0,2,0.0,0.0,0,0,0,0,0,3,2,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,6.14
Joel Ward,2.0,eng ENG,WB,27-294,90,0,0,0,0,0,0,0.0,0.0,0,0,Crystal Palace,0,1,False,False,Liverpool - Crystal Palace,412,208,13,13,5,10,5,13,0.0,0.0,0,1,1,0,1,38,23,14,0,0,1,2,14,0,1,1,1,3,2,3,0,3,1,5,0,2,24,17,12,0,1,0,19,62,8,0,0,0,2,0,20,4,0,0,0,1,1,0,0,0,0,4,1,1,,,,,,,,,,,,,,,,6.12
James Tomkins,5.0,eng ENG,CB,28-143,90,0,0,0,0,1,0,0.1,0.1,0,0,Crystal Palace,0,1,False,False,Liverpool - Crystal Palace,303,171,3,3,7,9,3,4,0.0,0.0,0,3,0,0,2,16,16,0,0,0,0,0,0,0,2,0,0,1,1,1,0,1,4,4,0,4,17,10,1,1,0,0,12,48,11,0,1,0,0,0,11,0,0,0,0,1,1,0,0,0,0,3,2,2,,,,,,,,,,,,,,,,6.4399999999999995
Scott Dann,6.0,eng ENG,CB,30-186,90,0,0,0,0,0,0,0.0,0.0,0,0,Crystal Palace,0,1,False,False,Liverpool - Crystal Palace,402,164,2,3,9,13,5,8,0.0,0.0,0,4,1,0,3,25,24,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,10,0,10,20,17,3,0,0,0,16,67,23,0,0,0,0,0,15,1,0,0,0,1,0,2,0,0,0,3,2,2,,,,,,,,,,,,,,,,6.505
Timothy Fosu-Mensah,24.0,nl NED,CB,19-229,90,0,0,0,0,0,0,0.0,0.0,0,0,Crystal Palace,0,1,False,False,Liverpool - Crystal Palace,292,135,3,3,9,12,2,6,0.0,0.0,0,2,0,0,2,22,22,0,0,0,0,0,0,0,3,2,1,1,0,1,0,1,5,4,0,6,16,18,0,0,2,2,16,70,25,0,0,0,0,1,12,0,0,0,0,1,0,0,0,0,0,7,0,2,,,,,,,,,,,,,,,,6.605
Wayne Hennessey,13.0,wls WAL,GK,30-207,90,0,0,0,0,0,0,0.0,0.0,0,0,Crystal Palace,0,1,False,False,Liverpool - Crystal Palace,1017,990,0,0,4,4,16,40,0.0,0.0,0,3,0,0,0,44,27,17,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,41,49,2,0,0,0,0,24,210,144,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,13.0,1.0,12.0,2.9,16.0,40.0,34.0,2.0,54.9,10.0,66.7,15.0,3.0,2.0,14.1,8.49
Eric Maxim Choupo-Moting,10.0,cm CMR,AM,28-149,90,0,0,0,0,3,1,0.2,0.2,1,0,Stoke,1,0,True,False,Stoke - Arsenal,150,36,3,6,6,9,0,2,0.1,0.1,1,0,1,1,0,19,17,0,0,0,1,2,0,0,2,2,0,0,0,2,0,2,0,0,0,0,7,17,11,3,3,0,15,162,46,1,0,1,3,1,20,3,0,0,0,0,3,1,0,0,0,3,2,4,,,,,,,,,,,,,,,,6.9
Jesé,11.0,es ESP,AM,24-174,70,1,0,0,0,3,2,0.2,0.2,8,1,Stoke,1,0,True,False,Stoke - Arsenal,301,98,7,8,4,4,4,5,0.3,0.3,3,1,1,0,2,17,14,3,1,0,0,2,0,2,0,0,0,4,4,0,0,0,0,1,0,1,6,9,12,3,3,3,15,169,130,4,2,2,1,1,15,3,0,0,0,0,1,1,0,0,0,5,0,0,,,,,,,,,,,,,,,,
Ramadan Sobhi,32.0,eg EGY,AM,20-208,20,0,0,0,0,0,0,0.0,0.0,0,0,Stoke,1,0,True,False,Stoke - Arsenal,23,0,1,2,1,1,0,0,0.0,0.0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,3,3,0,0,0,0,3,13,6,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,,,,,,,,,,,,,,,,6.115
Xherdan Shaqiri,22.0,ch SUI,AM,25-313,24,0,0,0,0,0,0,0.0,0.0,0,0,Stoke,1,0,True,False,Stoke - Arsenal,107,25,5,5,1,2,1,2,0.0,0.0,0,2,0,0,2,9,8,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,2,9,2,0,1,1,11,70,3,0,0,0,2,3,14,2,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,6.085
Saido Berahino,9.0,bi BDI,FW,24-015,66,0,1,0,0,1,1,0.0,0.0,2,1,Stoke,1,0,True,False,Stoke - Arsenal,70,15,7,9,0,0,0,1,0.1,0.2,1,0,1,0,1,11,10,1,0,1,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,3,7,5,1,1,0,7,38,10,0,0,0,0,1,8,2,0,0,0,1,0,2,0,0,0,1,2,1,,,,,,,,,,,,,,,,6.984999999999999
Joe Allen,4.0,wls WAL,CM,27-158,90,0,0,0,0,0,0,0.0,0.0,0,0,Stoke,1,0,True,False,Stoke - Arsenal,149,64,8,10,3,3,0,1,0.0,0.0,0,2,0,0,1,16,16,0,0,0,0,1,0,0,2,0,0,4,4,3,1,2,0,1,0,3,9,10,6,0,1,1,9,65,31,0,0,0,1,1,8,1,0,0,0,0,0,0,0,0,0,4,0,1,,,,,,,,,,,,,,,,6.25
Darren Fletcher,24.0,sct SCO,CM,33-199,90,0,0,0,0,1,0,0.0,0.0,3,0,Stoke,1,0,True,False,Stoke - Arsenal,290,125,7,11,8,10,1,6,0.2,0.0,2,0,0,0,2,29,26,3,3,1,0,2,0,0,4,3,1,4,3,1,1,0,1,2,0,4,11,23,7,0,0,0,11,76,41,2,3,0,0,1,16,1,0,0,0,1,1,0,0,0,0,10,0,1,,,,,,,,,,,,,,,,7.055
Erik Pieters,3.0,nl NED,WB,29-012,88,0,0,0,0,0,0,0.0,0.0,1,0,Stoke,1,0,True,False,Stoke - Arsenal,250,109,10,12,3,9,2,4,0.0,0.1,1,2,2,1,3,27,24,2,0,0,0,1,2,0,3,1,2,5,3,0,0,0,0,2,1,3,12,14,10,0,1,0,14,66,30,1,2,0,1,0,18,3,0,0,0,0,1,0,0,0,0,4,0,0,,,,,,,,,,,,,,,,6.6850000000000005
Bruno Martins Indi,15.0,nl NED,WB,25-192,2,0,0,0,0,0,0,0.0,0.0,0,0,Stoke,1,0,True,False,Stoke - Arsenal,18,15,0,0,1,1,0,0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Mame Biram Diouf,18.0,sn SEN,WB,29-246,90,0,0,0,0,1,0,0.1,0.1,1,0,Stoke,1,0,True,False,Stoke - Arsenal,130,85,2,2,4,11,0,4,0.0,0.0,0,1,0,0,1,17,12,5,0,0,0,1,5,0,2,1,0,0,0,1,0,1,2,3,0,7,12,7,10,1,2,2,11,98,38,0,1,0,1,2,11,1,0,0,0,1,3,0,0,0,0,3,4,0,,,,,,,,,,,,,,,,6.76
Geoff Cameron,20.0,us USA,CB,32-039,90,0,0,0,0,1,0,0.0,0.0,1,0,Stoke,1,0,True,False,Stoke - Arsenal,308,127,7,8,8,9,2,4,0.0,0.0,0,0,0,0,1,21,18,3,1,0,0,0,2,0,1,0,0,0,0,3,2,1,2,2,0,4,15,13,1,1,0,0,13,71,19,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,3,2,1,,,,,,,,,,,,,,,,7.07
Ryan Shawcross,17.0,eng ENG,CB,29-319,90,0,0,0,0,1,0,0.1,0.1,0,0,Stoke,1,0,True,False,Stoke - Arsenal,101,41,2,2,4,5,0,0,0.0,0.0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,11,0,10,15,7,1,1,0,0,4,11,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,1,4,0,,,,,,,,,,,,,,,,7.21
Kurt Zouma,6.0,fr FRA,CB,22-296,90,0,0,0,0,0,0,0.0,0.0,2,0,Stoke,1,0,True,False,Stoke - Arsenal,400,184,4,5,11,14,2,3,0.0,0.0,0,1,0,0,3,22,17,5,1,0,2,0,4,0,3,3,1,1,0,0,0,0,3,8,0,7,21,13,1,0,0,0,8,41,28,0,0,0,0,0,10,0,0,0,0,1,0,0,0,0,0,3,2,1,,,,,,,,,,,,,,,,7.84
Jack Butland,1.0,eng ENG,GK,24-162,90,0,0,0,0,0,0,0.0,0.0,0,0,Stoke,1,0,True,False,Stoke - Arsenal,1093,976,0,0,3,3,17,39,0.0,0.0,0,4,0,0,0,43,23,19,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,44,50,0,0,0,0,0,20,237,142,0,0,0,0,0,7,0,0,0,0,0,2,0,0,0,0,0,0,0,6.0,0.0,6.0,1.1,15.0,37.0,30.0,3.0,57.1,12.0,64.1,20.0,1.0,2.0,11.4,8.465
Alexandre Lacazette,9.0,fr FRA,FW,26-083,77,0,0,0,0,0,0,0.0,0.0,1,0,Arsenal,0,1,False,False,Stoke - Arsenal,366,99,20,23,7,10,1,2,0.0,0.1,1,1,1,0,4,39,37,2,0,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,19,28,6,0,0,28,109,33,1,1,0,4,0,31,11,0,0,0,0,0,1,0,0,0,4,0,2,,,,,,,,,,,,,,,,5.92
Theo Walcott,14.0,eng ENG,RW,28-156,13,0,0,0,0,0,0,0.0,0.0,0,0,Arsenal,0,1,False,False,Stoke - Arsenal,40,10,2,2,1,1,0,0,0.0,0.0,0,1,0,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,3,11,0,0,0,0,0,1,4,2,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,5.96
Danny Welbeck,23.0,eng ENG,AM,26-266,90,0,0,0,0,3,2,0.6,0.6,1,0,Arsenal,0,1,False,False,Stoke - Arsenal,211,35,14,18,4,4,0,0,0.0,0.0,0,2,1,0,2,24,24,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,2,0,2,2,7,23,5,1,0,28,199,78,3,2,1,1,2,32,16,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,6.654999999999999
Mesut Özil,11.0,de GER,AM,28-308,90,0,0,0,0,2,0,0.1,0.1,11,0,Arsenal,0,1,False,False,Stoke - Arsenal,1355,319,50,53,39,40,2,5,0.5,0.4,4,10,3,0,15,103,96,6,1,2,1,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,50,55,3,4,3,84,567,300,7,8,1,0,1,96,13,0,0,0,0,1,0,0,0,0,2,0,1,,,,,,,,,,,,,,,,
Granit Xhaka,29.0,ch SUI,CM,24-326,78,0,0,0,0,2,1,0.1,0.1,2,0,Arsenal,0,1,False,False,Stoke - Arsenal,1423,464,40,44,37,40,6,19,0.1,0.1,1,11,3,0,17,106,101,5,0,2,3,5,0,5,0,0,0,1,1,0,0,0,3,0,0,0,7,83,23,0,1,1,85,426,256,3,2,0,2,2,93,0,0,0,0,1,0,0,0,0,0,6,0,0,,,,,,,,,,,,,,,,6.255
